"id","owner","title","dateupload","ownername","tags","latitude","longitude","place_id","url_m","date_entered"
"42195206674","50762671@N03","Tower Bridge, London",1529473279,"www.fromentinjulien.com","fromus75 fromus fromentinjulien fromentin flickr view exposure shot hdr dri manual blending digital raw photography photo art photoshop lightroom photomatix french francais light traitements effets effects world europe uk england londres london capitale capital ville city town città cuida colocación monument history 2018 photographe photographer dslr eos canon 5d mark iv fullframe full frame ff 2470mm 2470 canonef2470mmf28l canon2470mmf28 urban travel architecture cityscape thames tamise towerbridge bluehour twilight",51.505684,-0.075402,"cRiA4o1QUL4JMg","https://farm2.staticflickr.com/1788/42195206674_647423f070.jpg",1529473872
"42913505641","23848168@N06","Chateau Neercanne",1529473383,"limburgs_heksje","nederland netherlands niederlande limburg maastricht kasteel chateau neercanne",50.818726,5.668008,"2be9kcFWUbvZwWE","https://farm2.staticflickr.com/1762/42913505641_e2ca240415.jpg",1529473872
"42913500891","23848168@N06","Chateau Neercanne",1529473383,"limburgs_heksje","nederland netherlands niederlande limburg maastricht kasteel chateau neercanne",50.81887,5.667683,"2be9kcFWUbvZwWE","https://farm2.staticflickr.com/1822/42913500891_b0a258c6ca.jpg",1529473872
"42195197104","23848168@N06","Chateau Neercanne",1529473382,"limburgs_heksje","nederland netherlands niederlande limburg maastricht kasteel chateau neercanne",50.81875,5.667713,"2be9kcFWUbvZwWE","https://farm2.staticflickr.com/1822/42195197104_c5fffef820.jpg",1529473872
"42195196584","23848168@N06","Chateau Neercanne",1529473383,"limburgs_heksje","nederland netherlands niederlande limburg maastricht kasteel chateau neercanne",50.818718,5.667652,"2be9kcFWUbvZwWE","https://farm2.staticflickr.com/1765/42195196584_c8dfe40746.jpg",1529473872
"42195192094","23848168@N06","Chateau Neercanne",1529473382,"limburgs_heksje","nederland netherlands niederlande limburg maastricht kasteel chateau neercanne",50.818718,5.667755,"2be9kcFWUbvZwWE","https://farm2.staticflickr.com/1762/42195192094_0f21d975bd.jpg",1529473872
"29040985968","46092615@N08","photo by secret squirrel",1529473243,"secret squirrel6","secretsquirrel6truckphotos craigjohsontruckphotos australiantrucks bigrigs worldtrucks truckphotos kenworth case",-38.398182,146.15799,"mX73.NRQU7rX9Y5M","https://farm2.staticflickr.com/1784/29040985968_7c6bc1ff2d.jpg",1529473872
"42012509315","156601024@N05","Entrée des Invalides...",1529473410,"Laurent TIERNY","ville monument",48.857155,2.312755,"we5sd0RUVL7d6OdjRw","https://farm2.staticflickr.com/1790/42012509315_303b7c5bce.jpg",1529473872
"42012501605","16026350@N05","Trucking on the Yellowhead.",1529473211,"Gus Thompson","truck semi mountains scenery",53.08825,-118.02612,"m2IFbd5TUb4EPm3MHQ","https://farm1.staticflickr.com/875/42012501605_8224df06f9.jpg",1529473872
"42913450941","133963285@N06","Breezy Knees Gardens",1529473244,"maryhine329","breezykneesgardens peony pink north yorkshire",53.995407,-0.972118,"n8th5olSW7izEA","https://farm2.staticflickr.com/1788/42913450941_d696a34a53.jpg",1529473872
"42194895364","155297463@N06","Ripley flood erosion",1529473234,"awiitala","flooding ripley m26",47.126087,-88.556175,"iaGJqeZQUL9LT3pT_g","https://farm2.staticflickr.com/1810/42194895364_0f47b832a6.jpg",1529473872
"42913257091","155297463@N06","Ripley flood erosion",1529473234,"awiitala","flooding ripley",47.126038,-88.556114,"iaGJqeZQUL9LT3pT_g","https://farm2.staticflickr.com/1829/42913257091_b1cd059290.jpg",1529473872
"42194894804","155297463@N06","Stuff washed away by flood in Ripley",1529473235,"awiitala","flooding ripley",47.12599,-88.55576,"iaGJqeZQUL9LT3pT_g","https://farm1.staticflickr.com/879/42194894804_cc4c4302c4.jpg",1529473872
"42913256081","155297463@N06","Ford Taurus buried in sand after flood",1529473235,"awiitala","flooding ripley ford fordtaurus",47.12588,-88.55471,"iaGJqeZQUL9LT3pT_g","https://farm1.staticflickr.com/875/42913256081_c4bd323f0c.jpg",1529473872
"42194894424","155297463@N06","Drone checking out the flood damage in Ripley",1529473236,"awiitala","flooding drone ripley",47.12558,-88.552185,"iaGJqeZQUL9LT3pT_g","https://farm1.staticflickr.com/892/42194894424_50bfd5375b.jpg",1529473872
"42913255531","155297463@N06","M-26 highway erosion outside Ripley",1529473236,"awiitala","flooding m26 ripley highway guardrail",47.122887,-88.53529,"c7K_PxVTVrjUc.j0","https://farm2.staticflickr.com/1769/42913255531_9b62f672cb.jpg",1529473872
"42194894054","155297463@N06","M-26 highway erosion outside Ripley",1529473237,"awiitala","flooding m26 ripley highway guardrail",47.12285,-88.535194,"c7K_PxVTVrjUc.j0","https://farm2.staticflickr.com/1767/42194894054_3475905616.jpg",1529473872
"42913254711","155297463@N06","Coal Dock Road passable",1529473237,"awiitala","flooding dollarbay",47.119244,-88.52114,"OnvIP1pTUbNB1Imb","https://farm2.staticflickr.com/1804/42913254711_55ed648071.jpg",1529473872
"42194893514","155297463@N06","Airport Park Road closed after flooding",1529473238,"awiitala","flooding dollarbay",47.121822,-88.50716,"OnvIP1pTUbNB1Imb","https://farm2.staticflickr.com/1824/42194893514_2eaf1a6d8f.jpg",1529473872
"42194893244","155297463@N06","Airport Park Road closed after flooding",1529473239,"awiitala","flooding dollarbay",47.12183,-88.50715,"OnvIP1pTUbNB1Imb","https://farm2.staticflickr.com/1766/42194893244_c43fd4a53b.jpg",1529473872
